parameters_id,expectation_value/+/X,expectation_value/-/X,expectation_value/r/X,expectation_value/l/X,expectation_value/0/X,expectation_value/1/X,expectation_value/+/Y,expectation_value/-/Y,expectation_value/r/Y,expectation_value/l/Y,expectation_value/0/Y,expectation_value/1/Y,expectation_value/+/Z,expectation_value/-/Z,expectation_value/r/Z,expectation_value/l/Z,expectation_value/0/Z,expectation_value/1/Z,circuit_idx,job_id,expectation_value,initial_state,observable,parameter/0/0/amp,parameter/0/0/sigma,parameter/0/0/beta,parameter/1/0/amp,parameter/1/0/sigma,parameter/1/0/beta,parameter/1/1/amp,parameter/1/1/sigma,parameter/1/1/beta,parameter/2/0/amp,parameter/2/0/sigma,parameter/2/0/beta,parameter/2/1/amp,parameter/2/1/sigma,parameter/2/1/beta,parameter/2/2/amp,parameter/2/2/sigma,parameter/2/2/beta,parameter/3/0/amp,parameter/3/0/sigma,parameter/3/0/beta,parameter/3/1/amp,parameter/3/1/sigma,parameter/3/1/beta,parameter/3/2/amp,parameter/3/2/sigma,parameter/3/2/beta,parameter/3/3/amp,parameter/3/3/sigma,parameter/3/3/beta,job_idx,unique_id,counts/00,counts/01,counts/10,counts/11
317,0.974,-0.946,-0.0006666667,0.032,0.0406666667,0.0306666667,0.0706666667,0.0033333333,0.552,-0.5306666667,-0.7693333333,0.7973333333,0.03,0.0126666667,0.808,-0.7586666667,0.5746666667,-0.568,6,crs81mey7jt0008zzj70,0.974,+,X,0.3877675214,8.0540939553,-1.9525108417,0.7371441126,5.8407015998,-1.7640350812,0.6056277494,5.0925449196,-0.2021908418,0.8700486483,4.8083171811,-0.0973882546,0.5277150806,3.6435662435,0.6096837144,0.1362618996,4.0792709524,0.5603499794,0.138584215,2.9225455649,-0.9779860157,0.1780428497,1.6380614486,-1.2613629255,0.6409691419,1.7234703956,-0.2510372173,0.1414144622,1.187770606,0.5340290345,19,5706,45.0,35.0,2916.0,4.0
318,0.952,-0.932,-0.0806666667,0.1106666667,0.1493333333,-0.1293333333,0.1506666667,-0.1066666667,-0.0406666667,0.104,-0.932,0.964,0.1346666667,-0.114,0.9653333333,-0.942,-0.0413333333,0.0253333333,24,crs81mey7jt0008zzj70,0.952,+,X,0.8905488917,8.1224415768,0.7217424517,0.4574490131,5.5097039941,0.8464698226,0.2884171141,5.9028676582,-1.8567211254,0.8271896055,3.05066924,1.3478177519,0.079569647,4.9286239794,-1.1040753062,0.2734366178,4.5051184475,1.2685622368,0.1203174569,1.6519771832,-1.2469588214,0.6454260575,2.5404262983,-1.3129343312,0.9916255523,1.9056595454,-0.8620194327,0.7211070697,2.6114382497,0.5434323417,19,5724,43.0,65.0,2885.0,7.0
319,0.9753333333,-0.956,-0.034,0.032,-0.0393333333,0.0386666667,0.008,-0.0353333333,0.7946666667,-0.7686666667,-0.5386666667,0.5886666667,0.0366666667,0.0046666667,0.5913333333,-0.5186666667,0.792,-0.7306666667,42,crs81mey7jt0008zzj70,0.9753333333,+,X,0.3990724542,7.4830320066,-0.6086189103,0.4479477275,5.0946356068,-0.8283761546,0.2751130429,5.7112730134,0.9842594025,0.7878827644,4.7755239189,0.8010804293,0.1881560314,3.3843739746,-0.4960933711,0.5416036585,4.7622325437,-1.0716342619,0.4300726384,1.2615434651,-1.2772880595,0.9487327871,1.4468842527,-1.5846184169,0.3368626879,2.3071189663,-0.0471464036,0.4210166358,1.8960240246,-1.6204755759,19,5742,44.0,33.0,2919.0,4.0
320,0.9726666667,-0.9426666667,0.0,0.0086666667,0.0186666667,0.028,0.018,0.016,0.9173333333,-0.9066666667,-0.3206666667,0.3326666667,0.0206666667,0.0113333333,0.31,-0.2686666667,0.9213333333,-0.8866666667,60,crs81mey7jt0008zzj70,0.9726666667,+,X,0.0531602888,8.0321833896,0.1057994333,0.0875502475,6.340271623,1.5391739214,0.4705589733,5.3760005647,-0.9395161736,0.1750793367,3.5692448321,-0.9476328308,0.1777994674,3.1098549185,-1.1176956551,0.8890543218,3.9131498915,-1.3026135116,0.5250593005,1.7317289494,-0.985532086,0.2977557572,2.691868082,-1.1446381894,0.6625580885,1.4332616636,0.9877435098,0.6319626651,1.7658545395,0.6009679,19,5760,46.0,38.0,2913.0,3.0
321,0.976,-0.948,0.0486666667,-0.024,0.0466666667,0.026,-0.0066666667,0.05,0.714,-0.6746666667,-0.65,0.6926666667,0.034,0.006,0.6806666667,-0.6473333333,0.7233333333,-0.6973333333,78,crs81mey7jt0008zzj70,0.976,+,X,0.1598320394,7.2572821837,-1.427659215,0.9217186572,6.3016889212,-1.7460790709,0.0724427456,5.8719482579,-0.9701371443,0.9712079474,3.0802012319,-1.6549672893,0.1748081962,4.5105177129,-0.3189268226,0.2882566206,4.9314765225,1.8670361119,0.0284722909,1.6454662894,0.6732003332,0.5976099366,1.8667215137,-0.5736972245,0.7063581116,2.8674277157,-1.0686491993,0.0264457181,1.8728537035,-0.038448775,19,5778,42.0,32.0,2922.0,4.0
322,0.974,-0.952,-0.0126666667,-0.0053333333,0.0066666667,0.0326666667,0.0313333333,-0.028,0.734,-0.682,-0.6353333333,0.6686666667,0.0026666667,0.0253333333,0.6733333333,-0.6306666667,0.7566666667,-0.712,96,crs81mey7jt0008zzj70,0.974,+,X,0.1537623899,7.1500782265,-0.3316615635,0.7692036733,6.803040556,-1.769101038,0.5314342149,6.2841689298,1.4154616166,0.1376545423,3.7621408748,1.3623078204,0.4792558849,3.6324351734,1.6033649511,0.4909128985,4.2714235983,1.8985043304,0.6396025631,1.285967138,-0.8485311932,0.2948382516,1.5156506083,0.2747399154,0.593501189,1.4686605249,0.0033225824,0.4334038874,2.3610260095,-0.4593910494,19,5796,34.0,37.0,2927.0,2.0
323,0.9793333333,-0.9473333333,0.04,0.0126666667,0.0346666667,-0.0226666667,0.0373333333,0.0206666667,0.6566666667,-0.616,-0.706,0.706,0.0133333333,0.012,0.7293333333,-0.6953333333,0.6706666667,-0.6146666667,114,crs81mey7jt0008zzj70,0.9793333333,+,X,0.1148737169,7.5697308505,-0.6150322964,0.0733383753,6.0145356754,0.1897206148,0.9490687027,5.2712762522,-1.087598995,0.8651525329,3.7600256906,-0.3744376615,0.4476573077,4.850364466,-1.7315759134,0.6733843855,4.3433642916,-0.9599034939,0.5444307127,1.0149802772,-1.2724204454,0.7078236419,2.9712886745,0.4239879802,0.3636225691,2.3197938158,1.0377478073,0.6292268827,1.0006584165,-0.7876412553,19,5814,35.0,28.0,2934.0,3.0
324,0.9806666667,-0.9326666667,-0.01,0.0593333333,-0.0106666667,0.02,0.0226666667,-0.046,0.7186666667,-0.7133333333,-0.6433333333,0.6426666667,0.0233333333,0.0046666667,0.6613333333,-0.6533333333,0.7233333333,-0.6926666667,132,crs81mey7jt0008zzj70,0.9806666667,+,X,0.3122345294,8.2396201169,1.8518367523,0.5807787803,5.1077771467,0.1989029535,0.2445028745,5.6793503143,0.1491427847,0.5350232102,4.4098549842,-0.5513887548,0.7611112183,4.0227438832,-0.1483024296,0.8010874307,3.8884963109,0.3427017533,0.7498818195,2.795355682,-0.968279766,0.6155341959,2.3648693192,-0.6760799222,0.1192490861,1.5844789618,-1.9271291105,0.6496009021,2.0592507741,-0.8417702758,19,5832,58.0,26.0,2913.0,3.0
325,0.9746666667,-0.952,-0.0166666667,-0.0133333333,0.0253333333,0.0006666667,0.0566666667,-0.02,0.77,-0.7453333333,-0.5406666667,0.592,0.0186666667,0.0226666667,0.5866666667,-0.524,0.7706666667,-0.772,150,crs81mey7jt0008zzj70,0.9746666667,+,X,0.382122188,7.9651533165,1.5671483737,0.5634388642,5.6993487939,-0.993539144,0.1070062709,5.7355938473,0.2982006012,0.4515445744,4.76675686,-0.8509831803,0.5998422278,3.3212761636,-0.4839384745,0.6183355842,3.2084248343,0.7070962349,0.6484313624,1.9716140655,1.0876334491,0.5562614246,2.7642299941,-1.4321065388,0.446540799,2.1062855044,0.6757758158,0.5430521494,2.4175247333,-0.614016886,19,5850,50.0,31.0,2912.0,7.0
326,0.9606666667,-0.9466666667,-0.004,0.0553333333,0.08,-0.0513333333,0.0626666667,-0.0466666667,-0.2786666667,0.298,-0.906,0.9293333333,0.07,-0.032,0.9266666667,-0.8973333333,-0.3073333333,0.28,168,crs81mey7jt0008zzj70,0.9606666667,+,X,0.8860053014,7.9004479319,-1.788715584,0.7904831957,5.8048235482,-1.8014279476,0.7491634384,5.8340264121,-1.6276715552,0.4744845825,3.4562110194,0.653055956,0.3020444558,4.9389878251,0.2157427387,0.023029661,3.747077796,0.3841048407,0.1897312951,1.8253639115,1.0481474202,0.8507572009,2.7745415506,1.0878206302,0.2127318704,2.6605941469,0.4486423757,0.7107368118,2.2076551114,-1.8448599097,19,5868,37.0,55.0,2904.0,4.0
327,0.9746666667,-0.9546666667,0.0066666667,0.0493333333,0.034,0.05,-0.0013333333,-0.0306666667,0.874,-0.8373333333,-0.4313333333,0.444,0.0226666667,0.0226666667,0.4293333333,-0.44,0.8946666667,-0.842,186,crs81mey7jt0008zzj70,0.9746666667,+,X,0.3042063677,7.691630227,-1.796707547,0.0544272813,6.6105860114,1.0755561804,0.3223454788,5.5286786414,1.3099141488,0.739337152,4.2208069976,1.7223519114,0.3595463706,4.1795726529,1.6464841132,0.7411287756,3.7697275912,1.68665426,0.5529266096,2.5396884092,0.7091136459,0.8293131415,1.2429765958,0.7866495796,0.1665435641,2.5173094563,1.3586070503,0.1241264706,1.3068939949,-1.410119856,19,5886,36.0,33.0,2926.0,5.0
328,0.97,-0.944,0.0,-0.0073333333,0.026,0.0773333333,0.03,0.03,0.8213333333,-0.7993333333,-0.4786666667,0.518,0.0453333333,0.0586666667,0.5426666667,-0.496,0.8433333333,-0.8046666667,204,crs81mey7jt0008zzj70,0.97,+,X,0.2322050706,8.2307959034,-1.7868087235,0.0535454645,6.6885522087,1.8385835262,0.0298427764,5.707598748,-1.1663694455,0.6726601993,4.7432332743,0.1607638658,0.4605034972,4.8944833794,1.4109851851,0.9930173865,4.2442784017,-1.2704878729,0.0780841135,2.8523214659,-1.8921858187,0.9874820444,2.9455540948,-1.0850129538,0.9909185103,1.4179820039,-1.8576894858,0.2505978121,2.3421908557,-0.5085152952,19,5904,51.0,41.0,2904.0,4.0
329,0.9666666667,-0.944,-0.0706666667,0.104,0.1,-0.0186666667,0.1066666667,-0.0766666667,0.1266666667,-0.1173333333,-0.936,0.9573333333,0.0793333333,-0.0606666667,0.9633333333,-0.9393333333,0.1646666667,-0.094,222,crs81mey7jt0008zzj70,0.9666666667,+,X,0.9015166618,7.9056042145,-0.0891727218,0.1985184246,5.6803999078,0.7362911974,0.0035231698,6.2503954704,1.6914209345,0.4992977575,3.3312311038,0.2887131902,0.006115898,4.9139428565,1.9173139182,0.8962116328,4.2614558672,-1.7294742099,0.7415330883,2.8244259802,-1.7062928706,0.2074773813,2.7776247837,-0.4915431369,0.0728130549,1.9909107443,0.575107358,0.6707916584,1.522209284,1.1703804173,19,5922,43.0,45.0,2907.0,5.0
330,0.9666666667,-0.944,-0.0293333333,0.0746666667,0.1586666667,-0.072,0.076,-0.0933333333,-0.0986666667,0.0733333333,-0.934,0.9566666667,0.0893333333,-0.0366666667,0.9693333333,-0.9366666667,-0.0413333333,0.0806666667,240,crs81mey7jt0008zzj70,0.9666666667,+,X,0.7729798599,8.366889825,-0.4123927853,0.4646778562,6.3069984774,-1.8049576718,0.6062029485,5.388561823,0.3780903938,0.999440634,3.7457620257,-1.7766202852,0.7791464983,4.6114968137,-0.9379964232,0.2988766246,3.7288986123,-1.1487751112,0.4536805523,2.6639857837,0.2496211676,0.0908346265,1.7701644115,-0.6257073655,0.2112634764,2.5628702528,0.9640235569,0.5797142767,2.7282128889,0.5932768621,19,5940,41.0,44.0,2909.0,6.0
331,0.946,-0.932,-0.0666666667,0.124,0.1353333333,-0.124,0.1066666667,-0.0966666667,-0.25,0.2693333333,-0.9026666667,0.9306666667,0.1426666667,-0.09,0.9253333333,-0.9146666667,-0.2453333333,0.2606666667,258,crs81mey7jt0008zzj70,0.946,+,X,0.5319061208,7.4665643046,-1.9344259231,0.9996121403,6.4786322306,1.7995127772,0.9490504358,6.5121087737,1.0639265475,0.0573039608,3.8439643457,-0.0294922088,0.4742820518,3.5974814427,-0.9330865171,0.9530256107,3.0279523266,0.9365339775,0.6157206607,2.0172464433,-1.1588907451,0.3974234079,2.2956366936,1.5001984966,0.8824168228,1.3888168935,0.1587059038,0.5373299437,1.1775560535,-0.3080881511,19,5958,36.0,63.0,2883.0,18.0
332,0.972,-0.9366666667,-0.01,0.0106666667,-0.002,0.022,0.0046666667,0.0153333333,0.8053333333,-0.772,-0.554,0.5753333333,0.034,0.0026666667,0.608,-0.5426666667,0.8106666667,-0.762,276,crs81mey7jt0008zzj70,0.972,+,X,0.502168903,8.9625346178,0.2444515851,0.331773287,6.7573411032,0.4559228485,0.278941367,5.520921872,0.9005808933,0.0210770615,3.631291242,1.1997118276,0.3401490048,4.0550750668,-0.4853403023,0.014130186,4.3934013427,-0.4418348003,0.5377100171,1.7534147942,1.6351990426,0.026856012,2.8490985719,-1.2375749946,0.9775271404,1.6793183943,1.3502397242,0.1306768604,2.6083670918,-0.9463844488,19,5976,48.0,37.0,2910.0,5.0
333,0.9593333333,-0.9366666667,-0.076,0.1266666667,0.1086666667,-0.1166666667,0.1346666667,-0.11,0.2093333333,-0.202,-0.9253333333,0.938,0.1293333333,-0.0646666667,0.9273333333,-0.9166666667,0.234,-0.2506666667,294,crs81mey7jt0008zzj70,0.9593333333,+,X,0.860144803,7.0824166238,1.476499168,0.1092266503,6.381658972,1.4797807631,0.5334821243,6.790257013,-0.1137589875,0.4191554401,4.5007440388,0.0150328906,0.0523666947,4.0791942823,-1.6849914323,0.0863244184,4.6208871822,-1.0495472167,0.5579873972,1.7278415141,0.9549088153,0.9165211957,2.6440768708,-1.6799406755,0.8354859876,1.4508805246,0.0169333455,0.3724158485,2.2941638366,0.8260067399,19,5994,40.0,59.0,2899.0,2.0
334,0.9826666667,-0.9433333333,0.0013333333,0.0253333333,0.0133333333,0.0253333333,0.016,0.0153333333,0.9113333333,-0.8833333333,-0.342,0.3413333333,0.006,0.0073333333,0.3713333333,-0.3173333333,0.9213333333,-0.8993333333,12,crs81mygd8qg008rfcf0,0.9826666667,+,X,0.0043671164,8.5959395324,1.9552820063,0.0039576382,5.1075237983,1.9295131533,0.3773757294,5.4377734898,1.4654558292,0.5575759008,4.0334543292,1.1376727271,0.5499170319,3.0505663049,0.2208527555,0.6207472791,4.1852337011,0.8733265938,0.910726818,2.6301670332,1.9199589943,0.8939205017,1.7585673877,-0.2543120215,0.5402216518,2.3636448064,1.3516045698,0.000796006,1.5732109221,-1.8578019539,20,6012,51.0,25.0,2923.0,1.0
335,0.9713333333,-0.9433333333,-0.01,0.0186666667,0.0333333333,0.01,0.0033333333,0.0053333333,0.6226666667,-0.592,-0.7166666667,0.7446666667,-0.0066666667,0.002,0.7946666667,-0.7433333333,0.6073333333,-0.59,30,crs81mygd8qg008rfcf0,0.9713333333,+,X,0.4688291473,7.2015042439,0.339518207,0.2998361541,6.1585323806,0.6224254034,0.5549429628,6.6029318584,0.1099832563,0.2990949485,3.1079926784,0.2310483461,0.7293052576,3.3341966292,-1.6090849141,0.9874943695,4.2448926569,-1.472899265,0.3595011401,2.500212676,-0.7873186305,0.5337512988,2.8249088492,1.3445440721,0.2237143319,1.1261496111,0.0324000246,0.2879637082,1.560937088,-1.662077748,20,6030,37.0,42.0,2920.0,1.0
336,0.9753333333,-0.9493333333,0.0453333333,0.032,0.0033333333,-0.0046666667,0.006,-0.01,0.7673333333,-0.7533333333,-0.5686666667,0.598,-0.0093333333,0.04,0.5786666667,-0.5633333333,0.7726666667,-0.756,48,crs81mygd8qg008rfcf0,0.9753333333,+,X,0.0040151838,8.4482306098,1.6833099554,0.5222901736,6.9735283604,-1.5240403896,0.6524084566,5.020207831,0.4959957055,0.4754914599,4.6054547144,-0.7618713104,0.3802026493,3.9612786453,-0.2177616212,0.7576446721,3.2443486064,-0.6462470931,0.7821022502,1.7919642096,-1.9724577347,0.8644283068,2.8973526004,1.1591529727,0.502581625,1.2454486509,-0.9402328868,0.4808547917,1.9639571805,-0.2131225176,20,6048,48.0,37.0,2915.0,0.0
337,0.9726666667,-0.9433333333,0.01,0.022,-0.012,-0.0206666667,0.0173333333,-0.0506666667,0.7553333333,-0.7433333333,-0.5853333333,0.5926666667,0.0486666667,-0.018,0.6073333333,-0.594,0.7866666667,-0.7553333333,66,crs81mygd8qg008rfcf0,0.9726666667,+,X,0.1757611585,7.9522541689,-1.2672975716,0.7075170532,5.5463080764,1.7974625477,0.3844938355,5.9570733289,-0.2246118084,0.2048395248,3.2624848482,1.2718000832,0.7633035173,4.7787718526,-1.7564165584,0.5903910392,3.9678262518,-0.8660482701,0.0915585734,2.8940407516,-1.3433753978,0.7267714079,2.0842721155,1.206037373,0.6596387151,1.1080251289,-0.0015900088,0.4716110366,1.5653410467,0.0365595754,20,6066,40.0,36.0,2919.0,5.0
338,0.9613333333,-0.9493333333,-0.0126666667,0.0393333333,0.0486666667,0.012,0.0213333333,0.0033333333,0.6486666667,-0.6486666667,-0.6873333333,0.7113333333,0.0546666667,0.012,0.7266666667,-0.6713333333,0.686,-0.6486666667,84,crs81mygd8qg008rfcf0,0.9613333333,+,X,0.494414505,7.1245125336,0.1714057588,0.0191253698,5.6286175185,0.6416970354,0.4417427239,6.143411884,1.6228464876,0.0079449465,3.2111906373,-1.4901833917,0.837215598,3.5834183285,-1.2680258434,0.8228332492,4.6481260787,1.3320061084,0.423351445,1.4290487388,-0.6005758425,0.6186202282,1.784059416,1.849010931,0.4492149994,1.3651235701,0.4994492447,0.9198588945,2.9223405992,0.0604520896,20,6084,46.0,51.0,2896.0,7.0
339,0.9713333333,-0.9433333333,-0.0113333333,0.0333333333,0.034,0.0166666667,0.0313333333,0.01,0.9366666667,-0.9066666667,-0.252,0.2513333333,0.0266666667,0.0006666667,0.296,-0.2606666667,0.942,-0.91,102,crs81mygd8qg008rfcf0,0.9713333333,+,X,0.00320225,8.7404710392,-0.8012937437,0.3396822183,6.7826116341,-1.8074051565,0.2280826432,5.1107935519,0.7328910635,0.3028812302,4.9022671014,0.0496595301,0.5385095813,4.5503310432,-1.7138789349,0.0668349305,3.7331464391,0.9052532208,0.9078915209,2.0867214008,1.3023481602,0.4312472867,2.2414852913,0.0100922019,0.9551127076,2.5978423288,-1.5516602671,0.4369574759,1.3091109306,1.0887784063,20,6102,48.0,34.0,2909.0,9.0
340,0.9706666667,-0.9473333333,-0.0233333333,0.032,0.0426666667,0.002,0.032,-0.0066666667,0.612,-0.6,-0.7166666667,0.7813333333,0.0313333333,-0.0093333333,0.7713333333,-0.7606666667,0.61,-0.5846666667,120,crs81mygd8qg008rfcf0,0.9706666667,+,X,0.6440908237,8.3413389936,-0.3108769419,0.1166462284,5.0198389616,0.8019189447,0.373596764,6.2502356026,-0.0040523227,0.1576487784,4.5421402165,-1.4773716438,0.5632905648,3.2412822444,-0.2195397151,0.2893677168,3.0094656799,1.3533161989,0.9595223935,2.4610202504,1.602129843,0.3911637031,1.8481412269,-1.1247470493,0.3091294679,1.2638562857,-1.7101067665,0.2320526443,2.0682607918,0.2195691463,20,6120,44.0,40.0,2912.0,4.0
341,0.9713333333,-0.946,0.0013333333,0.002,0.0393333333,0.046,0.0066666667,0.0006666667,0.7586666667,-0.72,-0.6113333333,0.6193333333,0.044,-0.0166666667,0.65,-0.604,0.7633333333,-0.746,138,crs81mygd8qg008rfcf0,0.9713333333,+,X,0.0305606814,8.7796553013,1.3180957233,0.8743684731,5.5619251645,-0.064203364,0.4097442952,6.5931893734,0.9104531461,0.4007129354,4.7267681195,1.3952401538,0.2235377612,3.330013688,0.5530093024,0.3072104084,4.377174475,0.0024984104,0.9271002262,2.8512132756,-1.8890408729,0.4478321568,2.7481089032,0.1538476001,0.4528847793,2.8303804513,1.7274674771,0.7693606897,1.5034401084,-1.2192152636,20,6138,50.0,42.0,2907.0,1.0
342,0.974,-0.944,0.014,0.0073333333,-0.004,0.008,0.0333333333,-0.0026666667,0.7653333333,-0.744,-0.6113333333,0.632,0.04,0.0113333333,0.6206666667,-0.5633333333,0.7653333333,-0.7026666667,156,crs81mygd8qg008rfcf0,0.974,+,X,0.241715781,8.3590789517,-0.8666968492,0.4256004656,5.477267049,-1.921197953,0.4488589464,5.3939095555,1.3833808764,0.3556007792,4.6528636366,0.01432866,0.8223786742,4.9715953528,-0.1300471742,0.803950672,3.5221283844,1.8515930641,0.8842778175,1.3903671833,-1.6315674213,0.6446105151,2.1682533769,-0.6982815468,0.8213322407,1.4365306569,-1.1355219405,0.3091535678,1.1755627918,1.9432701896,20,6156,51.0,34.0,2910.0,5.0
343,0.9113333333,-0.9046666667,-0.0926666667,0.134,0.274,-0.2453333333,0.2346666667,-0.202,-0.2766666667,0.2666666667,-0.89,0.8993333333,0.2073333333,-0.1686666667,0.918,-0.9113333333,-0.1786666667,0.1906666667,174,crs81mygd8qg008rfcf0,0.9113333333,+,X,0.9978227044,7.8088584837,1.4697694387,0.6784841608,6.0318599057,-1.1944491545,0.0286940078,6.7557924204,1.7614467901,0.1030143117,4.827689954,0.5992963948,0.8565617263,4.5844553644,-1.2756425041,0.1611130892,4.2789255379,-1.0412016799,0.5222593654,1.4907266213,-0.2506687263,0.2852718683,2.3192007255,1.6922549764,0.5568737604,2.4087772447,-0.551019007,0.7757354171,1.9170946375,-0.6404656066,20,6174,51.0,122.0,2816.0,11.0
344,0.978,-0.95,-0.006,0.0333333333,0.038,0.0426666667,0.0546666667,0.0273333333,0.89,-0.8493333333,-0.4,0.4226666667,0.0153333333,0.0046666667,0.4333333333,-0.4033333333,0.8773333333,-0.8653333333,192,crs81mygd8qg008rfcf0,0.978,+,X,0.356072596,7.9024078407,-1.4972018154,0.1681681026,6.0207473741,0.5594701407,0.5555014975,5.4833626936,0.205207507,0.2415913114,3.597242571,1.5752148916,0.3024487142,3.2764271671,0.4644306567,0.4878622621,3.3005506562,-1.3799321684,0.3935974968,1.659809082,-0.1421142985,0.0890893527,2.605767845,0.591171917,0.1845660375,2.5453761078,0.8868947978,0.1937131396,2.6998859548,-0.5926083825,20,6192,46.0,30.0,2921.0,3.0
345,0.9553333333,-0.944,-0.022,0.034,0.092,-0.096,0.102,-0.088,-0.2766666667,0.326,-0.9086666667,0.91,0.0546666667,-0.0426666667,0.9226666667,-0.8913333333,-0.3106666667,0.3106666667,210,crs81mygd8qg008rfcf0,0.9553333333,+,X,0.9045572707,7.6941679955,-1.5596009641,0.0211725665,6.6153000601,-1.7530891706,0.8654958996,6.5914621411,-0.9905095717,0.967979237,3.7979204424,1.1941144325,0.5911873296,3.4616203372,1.2860788669,0.2821019872,4.6283558478,1.9525692905,0.1802647112,1.346264553,-0.440493808,0.672593146,2.1162809094,-0.4351259882,0.9592199848,2.7755769688,-0.6652863729,0.0829704215,1.5479603604,0.1840359061,20,6210,48.0,62.0,2885.0,5.0
346,0.976,-0.9393333333,0.0266666667,-0.0153333333,0.038,0.0253333333,0.0153333333,0.042,0.9386666667,-0.9286666667,-0.218,0.2586666667,0.036,0.0106666667,0.2353333333,-0.184,0.9533333333,-0.9353333333,228,crs81mygd8qg008rfcf0,0.976,+,X,0.0225210396,8.1813280053,0.2918903526,0.0315486298,5.047205865,-1.9539730031,0.0880966317,5.6487404191,1.2032188886,0.7806301393,4.6955219796,-1.798749451,0.4744881894,4.0815241953,0.1840403829,0.3633998959,3.7098866894,-0.9590025332,0.1223075727,1.6892211351,-0.6057900271,0.8325340037,1.7267819386,-1.6015371813,0.119734226,2.6405560149,0.5098066582,0.1371368287,2.3118756781,-0.4830220079,20,6228,51.0,34.0,2913.0,2.0
347,0.9686666667,-0.9426666667,-0.04,0.0433333333,0.0646666667,-0.0033333333,0.0493333333,-0.0326666667,0.4,-0.4066666667,-0.8606666667,0.8693333333,0.074,-0.048,0.872,-0.8493333333,0.442,-0.3933333333,246,crs81mygd8qg008rfcf0,0.9686666667,+,X,0.436582902,8.1852880281,1.6260495439,0.2474249107,6.9923178529,0.3507344637,0.7551092475,6.8217650947,-1.4641999162,0.7519725158,3.632767659,-0.1054655375,0.7049879175,4.9105376527,0.5811400451,0.7693280519,4.2376662053,1.5140138888,0.3485126447,2.3042120607,-0.5582122817,0.3985790621,1.8018569916,-0.6598821441,0.1120657787,1.0306457252,1.3027427346,0.8611379082,2.1197973659,1.1918028084,20,6246,44.0,42.0,2909.0,5.0
348,0.9546666667,-0.9306666667,-0.0813333333,0.1373333333,0.2146666667,-0.1766666667,0.1873333333,-0.1313333333,-0.2646666667,0.222,-0.9,0.9326666667,0.154,-0.14,0.9253333333,-0.9073333333,-0.21,0.25,264,crs81mygd8qg008rfcf0,0.9546666667,+,X,0.8722147888,8.8106805398,0.746285319,0.273129468,5.797417733,1.8407181398,0.6082512786,6.6923964457,-0.0002042638,0.450815472,4.8201471858,-0.3977284117,0.3248110464,4.3863637205,0.9546854301,0.4978103062,3.4995401058,-0.625336586,0.8802166159,2.4453324991,-1.5152831883,0.0750581756,2.2814713539,-0.8011092124,0.4447889559,2.4914902667,0.2419456995,0.9279867151,2.9667208897,-0.967586623,20,6264,27.0,64.0,2905.0,4.0
349,0.97,-0.944,-0.054,0.0893333333,0.1226666667,-0.0933333333,0.0666666667,-0.064,0.1006666667,-0.1106666667,-0.9386666667,0.9573333333,0.078,-0.0393333333,0.972,-0.94,0.148,-0.122,282,crs81mygd8qg008rfcf0,0.97,+,X,0.5943836704,7.0451393832,1.4657189434,0.892499357,5.0101558984,-0.8860890436,0.6233451607,6.9450377818,-1.9373248445,0.5698951268,3.5272444801,1.6892705886,0.8035861177,4.3397933243,-1.6072319864,0.3813687016,4.5962502264,-1.6468772022,0.68578868,1.4476730963,1.929464675,0.9098940055,1.3673953643,1.1346374227,0.4072255478,2.6202730426,1.4818367636,0.5654227939,2.4139698923,-1.5008295506,20,6282,40.0,41.0,2915.0,4.0
350,0.97,-0.938,-0.0853333333,0.1093333333,0.108,-0.0686666667,0.1326666667,-0.0893333333,0.336,-0.314,-0.898,0.8986666667,0.0766666667,-0.026,0.9093333333,-0.896,0.3493333333,-0.358,0,crs81ne7wv80008f6f20,0.97,+,X,0.8753195652,7.3790646926,0.4460377143,0.1737750121,6.0683907276,-0.06796826,0.0059279773,5.3141043005,1.9395597648,0.5129843882,3.1188935026,-0.9232889099,0.3555906826,4.0963078086,-1.7342852497,0.1215545386,4.6702326046,0.8178074647,0.1362159515,2.7138116466,-0.2765829276,0.9375627594,1.3616703555,1.5272885058,0.0865941974,2.298110167,0.9144048567,0.4403499112,2.3711649212,-1.3425020168,21,6300,49.0,39.0,2906.0,6.0
351,0.9753333333,-0.9553333333,-0.0386666667,0.022,0.0373333333,-0.014,0.042,-0.0033333333,0.51,-0.4986666667,-0.818,0.8273333333,0.0553333333,0.0133333333,0.8253333333,-0.828,0.5273333333,-0.4866666667,18,crs81ne7wv80008f6f20,0.9753333333,+,X,0.5359011076,7.1905104701,-0.2239642124,0.5140227249,6.2465705845,-0.8327177856,0.5259947055,5.1262209893,-1.5010527578,0.0765052582,4.8256277252,0.098545626,0.881792327,3.3630750076,1.1948449632,0.8318874612,4.1980676877,0.5347039294,0.0431281579,2.715716058,1.4700316408,0.9997300468,1.9801024608,0.3051122048,0.0699610906,2.343993617,-0.784613356,0.5385998408,1.1583611616,0.5351019758,21,6318,34.0,31.0,2929.0,6.0
